guid,tag
8,positive
1576,positive
2320,positive
4912,positive
3821,positive
1306,positive
4555,positive
259,positive
3216,positive
881,positive
1037,positive
2463,neutral
3760,positive
3102,positive
4074,positive
2155,positive
5009,positive
3292,neutral
3599,positive
1061,neutral
3927,neutral
4461,neutral
716,positive
2505,positive
1803,positive
2157,neutral
1612,positive
4052,neutral
3641,positive
5097,positive
2358,neutral
349,positive
4710,neutral
2991,positive
459,neutral
1737,neutral
1993,positive
116,neutral
2949,positive
2792,neutral
1580,positive
2021,positive
4843,neutral
4827,neutral
3119,positive
3298,neutral
4541,positive
1952,positive
1839,neutral
2127,positive
3872,positive
3023,positive
2351,positive
4507,positive
600,positive
1516,positive
4601,neutral
1046,positive
1227,positive
4378,positive
4357,positive
4094,positive
5027,positive
1969,positive
4754,positive
861,neutral
136,neutral
4466,positive
4916,neutral
1025,positive
4922,neutral
1233,positive
1173,positive
532,positive
51,neutral
3008,positive
1578,positive
4945,positive
2572,positive
173,positive
3439,positive
755,positive
2918,positive
1417,neutral
3152,positive
121,positive
780,positive
4319,positive
1191,positive
1573,positive
1406,neutral
3955,positive
2904,positive
2721,positive
58,positive
3149,neutral
3690,positive
3243,positive
3476,positive
1393,positive
3362,positive
1552,positive
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,neutral
2823,positive
1021,positive
3103,positive
4981,neutral
3110,positive
824,positive
1999,positive
1769,neutral
4038,positive
2499,positive
4287,positive
4913,positive
3181,positive
4578,positive
1446,positive
1269,positive
2803,positive
1099,positive
96,positive
749,neutral
489,positive
3464,neutral
4910,positive
5000,neutral
2717,neutral
939,positive
4944,neutral
4560,positive
4471,neutral
313,neutral
3002,positive
204,neutral
4082,positive
960,neutral
740,positive
31,positive
3324,positive
264,positive
1922,neutral
3424,neutral
1192,positive
4603,neutral
570,positive
2668,neutral
1645,positive
3271,neutral
89,positive
3975,positive
3397,positive
3638,positive
1228,positive
2744,positive
4545,positive
730,neutral
2958,positive
1717,positive
1324,positive
4312,positive
3374,positive
4430,positive
3945,positive
290,neutral
4061,neutral
1168,neutral
1667,neutral
3139,positive
964,neutral
3495,neutral
932,positive
4483,positive
3227,neutral
5108,neutral
1931,neutral
5040,positive
3174,positive
1381,positive
2800,positive
4911,neutral
1768,positive
4087,neutral
1648,positive
3909,neutral
4348,positive
3170,neutral
3774,positive
3492,neutral
1994,positive
2971,positive
5043,positive
4552,positive
4372,neutral
1682,positive
4046,neutral
4022,positive
174,positive
4387,positive
677,neutral
1133,positive
429,positive
4040,positive
2114,positive
3998,neutral
1020,positive
2676,positive
2367,positive
5037,positive
2863,positive
2988,neutral
2746,neutral
